country	region	region_orig	Dif.region_region_orig	regionhash	habitatcode	presence	habitatgroup	annex_I_priority	annex_I_priority_comment
AT	CON	CON	TRUE	852762d58c9b1b381c49d3dbf347134d	9190	1	Forests	N	
AT	ALP	ALP	TRUE	2c77923669b5c59e8b5b46cb6fffccec	91D0	1	Forests	Y	
AT	CON	CON	TRUE	1584e5980a75e6bc30150a22c1956de3	91D0	1	Forests	Y	
AT	ALP	ALP	TRUE	ef6ebff63a1f4dc7966c8279183520eb	9.10E+01	1	Forests	Y	
AT	CON	CON	TRUE	9c4e0aeee92178949ea6456695f41aab	9.10E+01	1	Forests	Y	
AT	ALP	ALP	TRUE	26afdebe09e16ebd4fa6ff6e0a7ddf2b	91F0	1	Forests	N	
AT	CON	CON	TRUE	a2eaefea2356e1452166e293ba66fc2e	91F0	1	Forests	N	
AT	ALP	ALP	TRUE	ff031b38569e0834ba03fced7710383b	91G0	1	Forests	Y	
AT	CON	CON	TRUE	167c8eb18f529d714e0b6e4988cb682c	91G0	1	Forests	Y	
AT	ALP	ALP	TRUE	a778208656f2eea90542152651c5d492	91H0	1	Forests	Y	
AT	CON	CON	TRUE	30f7e0ba3bd7eaa8fcbe27e5a0e5d4af	91H0	1	Forests	Y	
AT	CON	CON	TRUE	7efa86231b556bc6877efa738a0ea0b7	91I0	1	Forests	Y	
AT	ALP	ALP	TRUE	6334b08a74bde2fea8c8e049ca29e7f6	91K0	1	Forests	N	
AT	CON	CON	TRUE		91K0	SR	Forests	N	
AT	ALP	ALP	TRUE	ea1e951c1785ac4e41027c815d102511	91L0	1	Forests	N	
AT	CON	CON	TRUE	027657e114dd1eeded6cb5acc7f8da96	91L0	1	Forests	N	
AT	ALP	ALP	TRUE	7f435be0283cd2964ef14a1fe629ae46	91M0	SR	Forests	N	
AT	CON	CON	TRUE	a02e2901d1913d39546898b14a20239e	91M0	1	Forests	N	
AT	ALP	ALP	TRUE	be03cc9c068eb1d08245c708cea79e0d	91T0	SR	Forests	N	
AT	ALP	ALP	TRUE	8026f7f57c3c58b11b5a3866e407e23d	9260	1	Forests	N	
AT	CON	CON	TRUE	691f1362a9a81797561e74cb8663df4e	9260	1	Forests	N	
AT	ALP	ALP	TRUE	f64cdceaa3d5fe6ae03f047fccca051a	9410	1	Forests	N	
AT	CON	CON	TRUE	83561888b5fa0710e227e383301e556b	9410	1	Forests	N	
AT	ALP	ALP	TRUE	ecddfa5241d15361e933c2dc210e70e0	9420	1	Forests	N	
AT	ALP	ALP	TRUE	a2ca81bb97f599bc692f7ca672e1c0c0	9430	1	Forests	N	(*if on gypsum or limestone)
AT	ALP	ALP	TRUE	4401aa9a8e854e10138273bffe69a97d	9530	1	Forests	Y	
AT	CON	CON	TRUE		9530	MAR	Forests	Y	
BE	MATL	MATL	TRUE	db242f8b68c1f616204788340a1907bc	1110	1	Coastal habitats	N	
BE	MATL	MATL	TRUE	8d36ca5f5f317b506135422caa28002f	1130	1	Coastal habitats	N	
BE	MATL	MATL	TRUE	8184f79fbc3eee0254fd55fbc4495528	1140	1	Coastal habitats	N	
BE	MATL	MATL	TRUE	07af0e306034b9ac870ecd5ee543b78d	1170	1	Coastal habitats	N	
BE	ATL	ATL	TRUE	fba93d5c9e3114386d24b89d35780f80	1310	1	Coastal habitats	N	
BE	ATL	ATL	TRUE	f102fa2a4c588d6d6b82c702602ad8b6	1320	1	Coastal habitats	N	
BE	ATL	ATL	TRUE	d1b43a0d4fa47a5d07ccc0ecc63df6c0	1330	1	Coastal habitats	N	
BE	ATL	ATL	TRUE	59baabb1d64c476f089a810e38d9a1db	2110	1	Dunes habitats	N	
BE	ATL	ATL	TRUE	373898169962b385dba53b334065f7bf	2120	1	Dunes habitats	N	
BE	ATL	ATL	TRUE	dafafa5e7d4dacae529ab3d07aff6103	2130	1	Dunes habitats	Y	
BE	ATL	ATL	TRUE	e6a71e190e59a04151fd888b66b31e7c	2150	1	Dunes habitats	Y	
BE	ATL	ATL	TRUE	0b3059e570ee911c28016fa90c8429d4	2160	1	Dunes habitats	N	
BE	ATL	ATL	TRUE	3b5d5103d54d83febe90e610d9da9a70	2170	1	Dunes habitats	N	
BE	ATL	ATL	TRUE	898851c10f8360cc6cb25793372f0d3c	2180	1	Dunes habitats	N	
BE	ATL	ATL	TRUE	1176a193a160e8c67fe7af42a8c75e43	2190	1	Dunes habitats	N	
BE	ATL	ATL	TRUE	0a04442d903b1fb7232c9aa98634d6b6	2310	1	Dunes habitats	N	
BE	ATL	ATL	TRUE	6dfbdcd32b67d8625c952855ad5b9c9c	2330	1	Dunes habitats	N	
BE	CON	CON	TRUE	94b111e632262a0628c1f375a9742c5a	2330	1	Dunes habitats	N	
BE	ATL	ATL	TRUE	31501d0cfb7b87226464124d05aff4d1	3110	1	Freshwater habitats	N	
BE	ATL	ATL	TRUE	665bc0c24065b1f2b2f21ae37684b506	3130	1	Freshwater habitats	N	
BE	CON	CON	TRUE	812c6f2318ca9c1f8cce055326852730	3130	1	Freshwater habitats	N	
BE	ATL	ATL	TRUE	ce9143b3af7d0fb3e59599ebc96854f6	3140	1	Freshwater habitats	N	
BE	CON	CON	TRUE	e5d79c42e78cf7127b2f54e567caa546	3140	1	Freshwater habitats	N	
BE	ATL	ATL	TRUE	7930995cbedc3024ab08c84afecfe631	3150	1	Freshwater habitats	N	
BE	CON	CON	TRUE	f977c578e262a690afed7db64d790404	3150	1	Freshwater habitats	N	
BE	ATL	ATL	TRUE	3e348b4b2bcef8f084b20eafc0e84a57	3160	1	Freshwater habitats	N	
BE	CON	CON	TRUE	98f2bfddfd3936854ec5bfdefc5d485b	3160	1	Freshwater habitats	N	
BE	ATL	ATL	TRUE	b1587d28a4bf7b686cd6b300ae35e2e5	3260	1	Freshwater habitats	N	
BE	CON	CON	TRUE	3e3700df539ff8a6061571a8e681be0f	3260	1	Freshwater habitats	N	
BE	ATL	ATL	TRUE	a865b8b338be16496e637df3ad00baed	3270	1	Freshwater habitats	N	
BE	CON	CON	TRUE	4f65a77e779fbaf93cd0170eff9740d6	3270	1	Freshwater habitats	N	
BE	ATL	ATL	TRUE	8aec0219b0b46dd852d7767c48001d3d	4010	1	Heath & scrub	N	
BE	CON	CON	TRUE	72303c80afb987f06620068ad2a1e984	4010	1	Heath & scrub	N	
BE	ATL	ATL	TRUE	96ac11d8dd4e0d8fe42938b12deada71	4030	1	Heath & scrub	N	
BE	CON	CON	TRUE	6e1b79206acf8bb4b6ccabd20e2fcd45	4030	1	Heath & scrub	N	
BE	CON	CON	TRUE	a30402ca7d6f60f61990e6eb9aefced7	5110	1	Sclerophyllous scrubs	N	
BE	ATL	ATL	TRUE	5d3c7de11f02a37cae707792959b128a	5130	1	Sclerophyllous scrubs	N	
BE	CON	CON	TRUE	6a6c85076c24a83bcda7a6bd2b6e255f	5130	1	Sclerophyllous scrubs	N	
BE	ATL	ATL	TRUE	aca919399ed783e8548ebd247380a376	6110	1	Grasslands	Y	
BE	CON	CON	TRUE	54c0a73d30863c4298fc8d033713001f	6110	1	Grasslands	Y	
BE	ATL	ATL	TRUE	81b79211215d370748461507b4825f3c	6120	1	Grasslands	Y	
BE	CON	CON	TRUE	96f4b5721d6b9b8f56a54ec57e4444e2	6120	1	Grasslands	Y	
BE	CON	CON	TRUE	3e9b0066240ece6762a5ef0c030e4309	6130	1	Grasslands	N	
BE	ATL	ATL	TRUE	84e878fbda62a5e1c205fc98da4fb04c	6210	1	Grasslands	N	(* important orchid sites)
BE	CON	CON	TRUE	2b8b478ca275a4707b1c55709413ea1f	6210	1	Grasslands	N	(* important orchid sites)
BE	ATL	ATL	TRUE	794fe58c07c82f8f5ec73ee4094e4196	6230	1	Grasslands	Y	
BE	CON	CON	TRUE	36086b3bbfae3cfce96a8199dcc84571	6230	1	Grasslands	Y	
BE	ATL	ATL	TRUE	31f1f57e8c015b9e258375968c52c01c	6410	1	Grasslands	N	
BE	CON	CON	TRUE	8ff02c98aeaca54105f923519c81a9a4	6410	1	Grasslands	N	
BE	ATL	ATL	TRUE	11272f894f67b8e7d0480ce8606fb569	6430	1	Grasslands	N	
BE	CON	CON	TRUE	bbacbfda897c3bf40fb4d17d096d6ccd	6430	1	Grasslands	N	
BE	ATL	ATL	TRUE	3d6529d13d6865638fcd1b9b20a48a4e	6510	1	Grasslands	N	
BE	CON	CON	TRUE	5f7227a6c55043c50038ebe8ebc6f2a8	6510	1	Grasslands	N	
BE	CON	CON	TRUE	0ba06c50075bb42e14703577e6978ab6	6520	1	Grasslands	N	
BE	ATL	ATL	TRUE	bc6cc0fa49e2a5d6d7ebe1fdd7758996	7110	1	"Bogs, mires & fens"	Y	
BE	CON	CON	TRUE	134afd4fc8dd2a232d0a7b41023f9b0d	7110	1	"Bogs, mires & fens"	Y	
BE	CON	CON	TRUE	e00964391632ea3cbc5eb7bed24820bf	7120	1	"Bogs, mires & fens"	N	
BE	ATL	ATL	TRUE	79c9d21c238e38ab87294380f1a261f4	7140	1	"Bogs, mires & fens"	N	
BE	CON	CON	TRUE	e72bbf15f3f5739d215fb7631aaaf8b2	7140	1	"Bogs, mires & fens"	N	
BE	ATL	ATL	TRUE	c39ffc822600136d57df6377a7bf9ea1	7150	1	"Bogs, mires & fens"	N	
BE	CON	CON	TRUE	36d2a99934abf29f9ea166df4d04536c	7150	1	"Bogs, mires & fens"	N	
BE	ATL	ATL	TRUE	75f64bad53649d909f0b78928eb1be2f	7210	1	"Bogs, mires & fens"	Y	
BE	ATL	ATL	TRUE	131242b00108fdc12c8a39290dc3ffb2	7220	1	"Bogs, mires & fens"	Y	
BE	CON	CON	TRUE	4f51ee97b10e973fe35fcb5bbc52e61d	7220	1	"Bogs, mires & fens"	Y	
BE	ATL	ATL	TRUE	29d797f4b741886ea9dc1eb20bf806ea	7230	1	"Bogs, mires & fens"	N	
BE	CON	CON	TRUE	98a5fad3405e894b4ab08774c388a9a9	7230	1	"Bogs, mires & fens"	N	
BE	CON	CON	TRUE	d11e3e03be501103c0035cc69174c939	8150	1	Rocky habitats	N	
BE	CON	CON	TRUE	dc13111c5179b5d51581fffbb59d4344	8160	1	Rocky habitats	Y	
BE	ATL	ATL	TRUE	6889fba138628be9e467cab5f272cb78	8210	1	Rocky habitats	N	
BE	CON	CON	TRUE	74f46340170e181d848f64127f0d9d5c	8210	1	Rocky habitats	N	
BE	ATL	ATL	TRUE	a914495d5c5f5dbe85a2ffb3f4db8bf1	8220	1	Rocky habitats	N	
BE	CON	CON	TRUE	4b16af1a5a234445d6a5917923b29cb5	8220	1	Rocky habitats	N	
BE	ATL	ATL	TRUE	d40eaa14b253ccae54983752c3dce962	8310	1	Rocky habitats	N	
BE	CON	CON	TRUE	5b02ae7dde78e97058d3ea6d4acb1107	8310	1	Rocky habitats	N	
BE	CON	CON	TRUE	c04f30478ca278267203ac07de73c7ba	9110	1	Forests	N	
BE	ATL	ATL	TRUE	1e040c11a686846d50035dae0ccd1749	9120	1	Forests	N	
BE	CON	CON	TRUE	d9afed9324fa91a19d884a5c221d1f11	9120	1	Forests	N	
BE	ATL	ATL	TRUE	97d2aefaee06d9daec302cccf713aee9	9130	1	Forests	N	
BE	CON	CON	TRUE	40469bd97bde4dbb6bdf18e6bb9453e2	9130	1	Forests	N	
BE	ATL	ATL	TRUE	49e60c838a5699bbd601ba72cb93a080	9150	1	Forests	N	
BE	CON	CON	TRUE	818d770fdf8c26be140e10d7438a3e78	9150	1	Forests	N	
BE	ATL	ATL	TRUE	07d5c1f9af17f5b130efa6a09d511b3d	9160	1	Forests	N	
BE	CON	CON	TRUE	3a790145eaa93876c180eddb1737486f	9160	1	Forests	N	
BE	ATL	ATL	TRUE	6641c21de2c8df228c9a2c2998b8ecf9	9180	1	Forests	Y	
BE	CON	CON	TRUE	d512818837e798834ef0c779a5b6a1fd	9180	1	Forests	Y	
BE	ATL	ATL	TRUE	f87e9d315684c5f62fcb1688ee11336d	9190	1	Forests	N	
BE	CON	CON	TRUE	eb2ca7f9c61d1a5d705f9851eaae2616	9190	1	Forests	N	
