"country","region","habitatcode","habitatgroup"
"AT","ALP","91E0","Forests"
"AT","CON","91E0","Forests"
"AT","ALP","91F0","Forests"
"AT","CON","91F0","Forests"
"AT","ALP","91G0","Forests"
"AT","CON","91G0","Forests"
"AT","ALP","91H0","Forests"
"AT","CON","91H0","Forests"
"AT","CON","91I0","Forests"
"AT","ALP","91K0","Forests"
"AT","ALP","91L0","Forests"
"AT","CON","91L0","Forests"
"AT","ALP","91M0","Forests"
"AT","CON","91M0","Forests"
"AT","ALP","91T0","Forests"
"AT","ALP","9260","Forests"
"AT","CON","9260","Forests"
"AT","ALP","9410","Forests"
"AT","CON","9410","Forests"
"AT","ALP","9420","Forests"
"AT","ALP","9430","Forests"
"AT","ALP","9530","Forests"
"BE","MATL","1110","Coastal habitats"
"BE","MATL","1130","Coastal habitats"
"BE","MATL","1140","Coastal habitats"
"BE","MATL","1170","Coastal habitats"
"BE","ATL","1310","Coastal habitats"
"BE","ATL","1320","Coastal habitats"
"BE","ATL","1330","Coastal habitats"
"BE","ATL","2110","Dunes habitats"
"BE","ATL","2120","Dunes habitats"
"BE","ATL","2130","Dunes habitats"
"BE","ATL","2150","Dunes habitats"
"BE","ATL","2160","Dunes habitats"
"BE","ATL","2170","Dunes habitats"
"BE","ATL","2180","Dunes habitats"
"BE","ATL","2190","Dunes habitats"
"BE","ATL","2310","Dunes habitats"
"BE","ATL","2330","Dunes habitats"
"BE","CON","2330","Dunes habitats"
"BE","ATL","3110","Freshwater habitats"
"BE","ATL","3130","Freshwater habitats"
"BE","CON","3130","Freshwater habitats"
"BE","ATL","3140","Freshwater habitats"
"BE","CON","3140","Freshwater habitats"
"BE","ATL","3150","Freshwater habitats"
"BE","CON","3150","Freshwater habitats"
"BE","ATL","3160","Freshwater habitats"
"BE","CON","3160","Freshwater habitats"
"BE","ATL","3260","Freshwater habitats"
"BE","CON","3260","Freshwater habitats"
"BE","ATL","3270","Freshwater habitats"
"BE","CON","3270","Freshwater habitats"
"BE","ATL","4010","Heath & scrub"
"BE","CON","4010","Heath & scrub"
"BE","ATL","4030","Heath & scrub"
"BE","CON","4030","Heath & scrub"
"BE","CON","5110","Sclerophyllous scrubs"
"BE","ATL","5130","Sclerophyllous scrubs"
"BE","CON","5130","Sclerophyllous scrubs"
"CZ","CON","3270","Freshwater habitats"
"CZ","PAN","3270","Freshwater habitats"
"CZ","CON","4030","Heath & scrub"
"CZ","PAN","4030","Heath & scrub"
"CZ","CON","4060","Heath & scrub"
"CZ","CON","4070","Heath & scrub"
"CZ","CON","4080","Heath & scrub"
"CZ","CON","40A0","Heath & scrub"
"CZ","PAN","40A0","Heath & scrub"
"CZ","CON","5130","Sclerophyllous scrubs"
"CZ","PAN","5130","Sclerophyllous scrubs"
"CZ","CON","6110","Grasslands"
"CZ","PAN","6110","Grasslands"
"CZ","CON","6150","Grasslands"
"CZ","CON","6190","Grasslands"
"CZ","PAN","6190","Grasslands"
"CZ","CON","6210","Grasslands"
"CZ","PAN","6210","Grasslands"
"CZ","CON","6230","Grasslands"
"CZ","CON","6240","Grasslands"
